question,context
What is the unique aspect of the obturator foramen bypass described in this case report?,Crossover ilioprofunda reconstruction: an expanded role for obturator foramen bypass. The standard obturator foramen bypass extends from the aorta or iliac artery to the ipsilateral superficial femoral or popliteal artery. This operation has been both effective and versatile as an indirect bypass procedure for circumventing difficult vascular problems in the femoral triangle. A case is presented of a patient whose limb was salvaged by an obturator foramen bypass from the contralateral iliac artery to the profunda femoris artery. This unique case is compared to other published cases to emphasize the potential advantages of the profunda femoris as the preferred graft outflow in selected cases of arterial reconstruction through the obturator foramen.
When is antibiotic treatment recommended for bacterial gastroenteritis?,"Antibiotic treatment of bacterial gastroenteritis. Antibiotic treatment is important in certain etiologies of bacterial gastroenteritis, both for clinical improvement and for eradication of the causative organism from stools, which is important epidemiologically. The etiology, however, is seldom known at presentation in sporadic cases of diarrhea. Thus the decision to initiate antibiotic therapy and the choice of the specific antimicrobial agents should be made on a clinical basis, before culture results are available."
How does CD45 potentially regulate signal transduction in B cells?,"Regulation of B cell antigen receptor signal transduction and phosphorylation by CD45. CD45 is a member of a family of membrane proteins that possess phosphotyrosine phosphatase activity, and is the source of much of the tyrosine phosphatase activity in lymphocytes. In view of its enzymatic activity and high copy number, it seems likely that CD45 functions in transmembrane signal transduction by lymphocyte receptors that are coupled to activation of tyrosine kinases. The B cell antigen receptor was found to transduce a Ca(2+)-mobilizing signal only if cells expressed CD45. Also, both membrane immunoglobulin M (mIgM) and CD45 were lost from the surface of cells treated with antibody to CD45, suggesting a physical interaction between these proteins. Finally, CD45 dephosphorylated a complex of mIg-associated proteins that appears to function in signal transduction by the antigen receptor. These data indicate that CD45 occurs as a component of a complex of proteins associated with the antigen receptor, and that CD45 may regulate signal transduction by modulating the phosphorylation state of the antigen receptor subunits."
What was the effect of isradipine on systolic and diastolic blood pressure in patients with mild-to-moderate hypertension?,"Multicenter evaluation of efficacy, tolerability and safety of a new first-line antihypertensive drug, isradipine, in a Latin-American population. Isradipine, a new antihypertensive dihydropyridine calcium antagonist, was evaluated for its efficacy, tolerability, and safety in 91 ambulatory patients who had mild-to-moderate hypertension. The design of the present study included a two-week wash-out period after confirmation of disease, followed by 12 weeks of active treatment with 2.5 mg isradipine twice daily. Patients were switched from other antihypertensive drugs, mainly diuretics and beta-blockers. The dose of isradipine remained virtually unchanged throughout the study and resulted in a mean decrease of 22 mm Hg in systolic blood pressure (SBP) (P less than .00001) and 19 mm Hg in diastolic blood pressure (DBP) (P less than .00001). Heart rate was unchanged (difference of -1 beats/min), as was the mean body weight of the study patients. Isradipine was generally well tolerated. Side effects were few and, when present, tended to diminish and eventually disappear during the treatment period. All of the clinical laboratory parameters tested and electrocardiograph intervals remained unchanged. In conclusion, these results indicate that isradipine is a novel drug which is highly effective and well tolerated in the treatment of mild to moderate hypertension in this group of patients."
What are the potential complications for pregnancies complicated by chronic hypertension?,"Diagnosis and management of chronic hypertension in pregnancy. Pregnancies complicated by chronic hypertension are at increased risk for the development of superimposed preeclampsia, abruptio placentae, and poor perinatal outcome. The frequency of these complications is particularly increased in patients with severe hypertension and those with preexisting cardiovascular and renal disease. Such women should receive appropriate antihypertensive therapy and frequent evaluations of maternal and fetal well-being. In contrast, in patients with mild essential chronic hypertension, the maternal and perinatal benefits from antihypertensive medications are highly controversial. A review of the literature revealed two placebo-controlled studies, four trials comparing treatment versus no medication, and three comparisons of methyldopa and oxprenolol. In only one of these studies were subjects randomized in the first trimester. No differences in pregnancy outcome were found with the use of antihypertensive drugs. Evaluation of the woman with chronic hypertension who is considering pregnancy should begin before conception to establish the cause and severity of the hypertension. Appropriate management should include frequent evaluation of maternal and fetal well-being; antihypertensive medications may be useful in patients with severe disease as well as in those with target organ involvement."
How can the relationship between gastroesophageal reflux (GER) and upper airway diseases impact patient diagnosis and treatment?,"Gastroesophageal reflux and upper airway diseases. GER can have important impacts on the upper airway passages, and in turn, upper airway obstruction can certainly aggravate reflux. This relationship should be considered in the newborn or young infant, faced with a sudden life-threatening event, and in the older child or adult presenting with chronic head and neck complaints, either unexplained or unresponsive to adequate medical therapy. A causal relationship may be difficult to establish, based first on clinical expertise as a guideline, on laboratory tests, among which pharyngeal pH monitoring could be promising, and on response to medical antireflux therapy. A better understanding of the significance of high levels of reflux and defective acid clearance, as well as a more precise knowledge of the maturation and functioning of upper airway protective mechanisms, would open the way to more accurate diagnostic procedures, to a more reliable definition of the abnormal, and to greater efficiency in the management of these patients."
What are the potential causes and techniques for removing a Foley catheter when its balloon cannot be deflated?,"Emergency management of the nondeflating Foley catheter balloon. Inability to remove a self-retaining (Foley) catheter may result from failed attempts to deflate its balloon. In this article, the authors review the causes of inability to deflate Foley catheters as well as the various techniques for their removal."
What was the primary finding of the study regarding the mechanism of post-prandial worsening of angina?,"Post-prandial worsening of angina: all due to changes in cardiac output? BACKGROUND--The precise mechanism leading to the post-prandial worsening of angina has yet to be adequately defined. It has been attributed to an increase in double product but is perhaps more likely to be related to an increase in cardiac output after food. This study was designed to evaluate the effects of food on patients' exercise tolerance and compare these with changes in haemodynamic variables. METHODS--23 patients with chronic stable angina who had post-prandial worsening of their angina were studied. The patients were evaluated on two occasions and at each visit they underwent two symptom limited treadmill exercise tests. They remained fasting on the first visit and were given a 1400 kcal meal 60 minutes before the second exercise test on the second visit. Time to onset of 1 mm ST segment depression, heart rate, systemic arterial blood pressure, and cardiac output were measured at rest and during exercise. RESULTS--There were no differences in any of the variables during the two exercise tests on the day the patients remained fasting. After the meal exercise tolerance fell significantly by 136 seconds and the stage at which 1 mm ST segment depression was first seen was also significantly reduced. Resting cardiac output increased significantly by 0.86 1/min with the patients sitting and by 0.89 1/min standing. The exercise times after food were significantly related to cardiac output even when fasting times were taken into account. Resting heart rate increased significantly by 8.3 beats per minute sitting and 10.4 beats per minute standing. There was little change in blood pressure and no evidence that the double product predicted the post-prandial exercise time. CONCLUSIONS--Worsening of angina was related to the increase in cardiac output after a meal and successful treatment will depend upon the prevention of this increase."
What types of headaches were observed in patients with Arnold-Chiari malformation (ACM) in this study?,"Headache spectrum in Arnold-Chiari malformation. Exertional headaches in patients with Arnold-Chiari malformation (ACM) are well described. We report four patients with Type I ACM and recurrent headaches. These patients presented, respectively, with low spinal fluid pressure headache, migraine without aura, migraine with aura, and migraine with prolonged aura. This report suggests the need for observing patients with recurrent headaches for any physical stigmata of craniovertebral junction anomalies, and the need to exclude ACM in such patients. Possible implications of the association between ACM and different types of headaches are discussed."
What were the key findings regarding the performance of different types of prostheses in combined mitral-aortic valve replacement after a 14-year follow-up?,"Influence of type of prosthesis on late results after combined mitral-aortic valve replacement. The influence of type of prosthesis on the late outcome of patients with combined mitral-aortic valve replacement was analyzed by comparing, at a 14-year follow-up, patients receiving two biological prostheses (group 1; n = 135), two mechanical prostheses (group 2; n = 221), or a mechanical prosthesis in the aortic position and a bioprosthesis in the mitral position (group 3; n = 97). No difference was found among the three groups in terms of actuarial survival and incidence of and freedom from valve-related deaths, thromboemboli, and hemorrhages. Patients with biological prostheses had a significantly greater incidence of structural valve deterioration, reoperations, and overall complications when compared with patients with only mechanical prostheses. The results of an extended follow-up of patients with combined mitral-aortic valve replacement indicate that mechanical prostheses perform better in the long-term owing to their superior durability when compared with biological valves. The use of bioprostheses should be confined to old patients with limited life expectancy because of their cardiac disease, provided that anticoagulants are not used. Combination of mechanical and biological prostheses in the same patient should be avoided because the advantages of each type of prosthesis are lost."
What changes in CT scan appearance can be observed in a traumatized spleen during nonoperative management?,"CT appearance of splenic injuries managed nonoperatively. This essay illustrates the appearance of the traumatized spleen on CT scans obtained during the course of conservative treatment. Although the CT appearance of acute rupture of the spleen has been adequately described, little has been reported about the appearance of the spleen as it heals after trauma. Examples of CT studies of splenic injuries illustrate the various changes in appearance over time in the traumatized spleen that is treated nonoperatively."
What significant legislative act was passed in 1971 that helped advance cancer research and treatment?,"Progress in cancer. Definite progress has been made against cancer since the National Cancer Act was passed in 1971. Physicians are giving increased attention to cancer prevention. The exciting changes in molecular biology provide increased knowledge about basic mechanisms in tumor growth and metastases. Detailed discussions of two common solid cancers--breast and colorectal--attest to continuing advances in cancer diagnosis and treatment. All of these augur well for further progress in oncology. Continued research, basic and clinical, is mandatory."
What was the success rate of the percutaneous posterolateral lumbar discectomy procedure in this study?,"Percutaneous posterolateral lumbar discectomy and decompression with a 6.9-millimeter cannula. Analysis of operative failures and complications. The operative failures and complications of percutaneous posterolateral lumbar discectomy were analyzed in 100 patients who had a herniated nucleus pulposus and were prospectively studied and treated with use of a 6.9-millimeter outer-diameter (4.9-millimeter inner-diameter) sheath and manual insertion of the instruments. Twelve operations were considered to have failed, regardless of the length of postoperative follow-up or the incidence of reinjury; eleven patients had a repeat operation at the index level, and one patient was a chronic drug-abuser. In eight of the eleven patients, subsequent laminectomy was successful. Two patients had a psoas hematoma and one had a transitory sensory and distal motor deficit; all of these complications resolved without sequelae. There were no major complications, including superficial or deep infection, and no patient had neurovascular compromise."
What was the overall success rate of endoprosthesis insertion for proximal malignant biliary obstruction in this study?,"Palliation of proximal malignant biliary obstruction by endoscopic endoprosthesis insertion. For four years up to December 1987, 190 patients (median age 73 years) with proximal malignant biliary obstruction were treated by endoscopic endoprosthesis insertion. Altogether 101 had cholangiocarcinoma, 21 gall bladder carcinoma, 20 local spread of pancreatic carcinoma, and 48 metastatic malignancy. Fifty eight patients had type I, 54 type II, and 78 type III proximal biliary strictures (Bismuth classification). All patients were either unfit or unsuitable for an attempt at curative surgical resection. A single endoprosthesis was placed initially, with a further stent being placed only if relief of cholestasis was insufficient or sepsis developed in undrained segments. The combined percutaneous-endoscopic technique was used to place the endoprosthesis when appropriate, after failed endoscopic endoprosthesis insertion or for second endoprosthesis placement. Full follow up was available in 97%.Thirteen patients were still alive at the time of review and all but one had been treated within the past six months. Initial endoprosthesis insertion succeeded technically at the first attempt in 127 patients, at the second in 30, and at a combined procedure in a further 13 (cumulative total success rate 89% - type I: 93%; type II: 94%; and type III: 84%). There was adequate biliary drainage after single endoprosthesis insertion in 152 of the 170 successful placements, giving an overall successful drainage rate of 80%. Three patients had a second stent placed by combined procedure because of insufficient drainage, giving an overall successful drainage rate of 82% (155 of 190). The final overall drainage success rates were type I: 91%; type II: 83%; and type III: 73%. The early complication rates were type I: 7%; type II: 14%; and type III: 31%."
What serious complications can occur after intravesical instillation of bacillus Calmette-Guerin (BCG)?,"Complications after intravesical instillation of bacillus Calmette-Guerin: rhabdomyolysis and metastatic infection. Two cases of adverse reaction to bacillus Calmette-Guerin (BCG) bladder instillations are reported. In both cases transient fevers and systemic symptoms developed following the instillations. After an additional instillation 1 patient had high fevers, severe myalgias and profound weakness followed by rhabdomyolysis and anuric renal failure, which required 3 weeks of hemodialysis before recovery. Extensive evaluation revealed no cause other than the BCG instillations. In the other patient a firm subcutaneous nodule gradually developed on the chest wall, which contained nonviable acid fast bacilli."
How does the severity of prior salpingitis episodes impact the recurrence rate of ectopic pregnancy in women with a prior uterine pregnancy?,"Recurrence of ectopic pregnancy: the role of salpingitis. We evaluated the role of salpingitis on the recurrence of ectopic pregnancy from a historical cohort of 2501 women who had undergone laparoscopic examination for acute salpingitis. We used pregnancy (N = 2899) as the unit of analysis and a modified conditional logistic regression to estimate a pairwise odds ratio as a measure of the recurrence of ectopic pregnancy. Among the second or higher order of pregnancy, the recurrence was 21.7%. For pregnancies with a prior uterine pregnancy, the ectopic pregnancy rate increased with prior salpingitis scores constructed from a combination of prior salpingitis episodes and severity (0 score, 2.7%; 1 to 2 scores, 4.8%; and greater than or equal to 3 scores, 12.1%). For those with a prior ectopic pregnancy, the rate did not increase with prior salpingitis scores (score 0, 20.0%; score 1 or 2, 19.2%; and score greater than or equal to 3, 26.9%). The adjusted pairwise odds ratio was 2.2 and was practically unchanged (2.1) after additional adjustment with prior salpingitis scores. These findings confirm salpingitis as a risk factor for first ectopic pregnancy, but once a woman had an ectopic pregnancy, previous salpingitis might not add any incremental risk."
What percentage of patients reported pain relief after receiving nitrous oxide in this rural EMS system study?,"Effectiveness of nitrous oxide in a rural EMS system. Prehospital systems need a safe, effective analgesic agent for the treatment of patients suffering from pain. Recent studies have documented the efficacy of nitrous oxide in urban and rural settings. This study reviews the findings on 200 patients (157 trauma, 23 medical, 18 musculoskeletal problems) who received nitrous oxide during a 28-month period in a rural EMS system. Eighty-five percent of the patients reported pain relief. Only minor side effects were noted. Patient satisfaction was high, and there was no abuse noted among personnel."
What is an iatrogenic epidermoid cyst and how can it occur in the parotid region following ear surgery?,Iatrogenic epidermoid cyst of the parotid region following ear surgery. Iatrogenic implantation of squamous epithelium may result in formation of an epidermoid cyst. These cysts have been described in various sites around the head and neck following otological procedures. A case of iatrogenic epidermal cyst in the parotid region following repeated myringoplasty is reported. The clinical features and differential diagnosis are discussed.
What is an epidural blood patch and how was it used to treat subarachnoid-cutaneous fistula in the described cases?,Epidural blood patch for treatment of subarachnoid fistula in children. A subarachnoid-cutaneous fistula developed in two children after the placement of a catheter in the subarachnoid space for drainage of cerebrospinal fluid. The management of this iatrogenic complication with epidural blood patch is described.
How does the estrogen receptor (ER) level correlate with response to tamoxifen treatment in advanced breast cancer?,"The value of estrogen and progesterone receptor determinations in advanced breast cancer. Estrogen receptor level but not progesterone receptor level correlates with response to tamoxifen. Four hundred fifteen patients with metastatic breast cancer with known hormone receptor status received primary treatment with tamoxifen. Measured values for the estrogen receptor (ER, i.e., with estrogen binding) followed a continuous distribution (range, 3 to 1000 fmol/mg of protein). These values correlated positively with age. The response to treatment with tamoxifen correlated with the ER level, with response rates of approximately 80% when the ER level was greater than 30.1 fmol/mg of protein. Two hundred eighteen (218 of 415, 52%) patients had progesterone receptor (PR) values greater than 10 fmol/mg. The PR positivity correlated with the ER level. Patients with PR levels greater than 10 fmol/mg of protein (124 of 226, 55%) had a significantly higher response rate than those with values less than 10 fmol/mg of protein (45 of 189, 24%). However, in a multivariate analysis including both receptor levels, age, site, and number of metastases, only the ER level was significant in predicting the response to treatment with tamoxifen. A quantitative estimation of the ER level thus is the best predictor of response to hormonal treatment with tamoxifen for advanced breast cancer."
What were the two drugs used in the study for treating patients with Raynaud's phenomenon?,"Regional intravenous ketanserin and guanethidine therapy in Raynaud's phenomenon. The authors report the results of a study of 25 patients with Raynaud's phenomenon (primary, posttraumatic, and secondary to diffuse connective tissue diseases) treated with regional intravenous injections of guanethidine or ketanserin. These two drugs were chosen because of the different etiopathologic profiles of the conditions. All the patients showed a substantial clinical improvement with a remission of trophic lesions. Conditions secondary to connective tissue disorders did not demonstrate much improvement based on instrumental data alone, possibly because of the intrinsic limitations of the techniques used for evaluating peripheral blood flow. This specific type of pharmaceutical treatment appeared to be especially suitable for this disease owing to a combination of therapeutic efficacy and a substantial reduction in the total dosage for each patient."
What are the two fracture patterns associated with the anteroinferior cervical vertebral body corner (teardrop) fracture?,"The axial load teardrop fracture. A biomechanical, clinical and roentgenographic analysis. The anteroinferior cervical vertebral body corner fracture was originally described by Schneider and Cann as the ""teardrop"" fracture. This report analyzes the biomechanical, clinical, and roentgenographic features of 55 such fractures obtained from the National Football Head and Neck Injury Registry. Teardrop fractures resulting from tackle football characteristically occurred in players attempting to make a tackle in which initial contact was made with the top or crown of the helmet. There were two fracture patterns associated with the anteroinferior corner (teardrop) fracture fragment: 1) the isolated fracture, which is usually not associated with permanent neurologic sequelae; and 2) the three-part, two-plane fracture in which there is an associated sagittal vertebral body fracture as well as fracture of the posterior neural arch. This latter pattern was almost always associated with permanent neurologic sequelae, specifically quadriplegia. Axial loading of the cervical spine was clearly identified as a mechanism of injury for both fracture patterns. Roentgenographic examination must include both anteroposterior and lateral views with computed tomography or tomography as necessary to determine the presence of the sagittal vertebral body fracture and the integrity of the posterior neural arch."
What were the key findings of the study comparing clinical and photographic methods for assessing facial weakness?,"Facial weakness. A comparison of clinical and photographic methods of observation. The search for an internationally acceptable facial grading system has resulted in an assessment of existing methods by several investigators. These studies were based on observations of video film taken of patients with varying degrees of facial malfunction. Although the grading systems were evaluated, the use of videotape has never been compared with clinical examination and its suitability for this type of work is, therefore, unknown. We used nine facial grading systems to compare the results of clinical observation with those of photographic methods of presentation. The latter included videotape, photographic slides, and a combination of the two. The correlation between clinical examination findings and findings of any of the photographic methods was poor, suggesting the need for a standard form of presentation when grading patients. The most consistent results were found with either clinical examination or photographic slides; videotape was the least reliable."
How do the patterns of soft palate oscillations differ between nasal and mouth snoring?,"Pattern of simulated snoring is different through mouth and nose. Cineradiography of the pharynx during simulated snoring was done in 6 healthy volunteers, and supraglottic pressure and flow rate were recorded in 12 others. We observed, immediately before snoring, a decrease in the sagittal diameter of the oropharynx followed, during snoring, by high-frequency oscillations of soft palate and pharyngeal walls. The pattern of soft palate oscillations was different while snoring through the nose or mouth. During inspiratory snoring through the nose, the soft palate remained in close contact with the back of the tongue and only the uvula presented high-frequency oscillations. Snoring through the mouth resulted in ample high-frequency oscillations of the whole soft palate. Frequency of airflow and supraglottic pressure oscillations was less (P less than 0.05) during mouth (28.2 +/- 7.5 Hz) than during nasal snoring (77.8 +/- 36.7 Hz). This difference may be related to the smaller oscillating mass (i.e., uvula) during nasal snoring. At variance with our previous data, which showed that snoring during sleep, in both heavy (nonapneic) snorers and obstructive sleep apnea patients, was systematically preceded by flow limitation, this was not true during simulated snoring."
What potential risks were identified in the study regarding self-administered sublingual nitroglycerin?,"Defining the proper role for self-administered sublingual nitroglycerin. A survey of physicians and patients. Within a half-year period, we encountered six cases of patients harmed by the adverse effects of self-administered nitroglycerin--syncope, delayed definitive medical care, and the worsening of nonischemic symptoms. We therefore surveyed 112 patients after a remote myocardial infarction, and 121 cardiologists and internists, regarding the use of sublingual nitroglycerin. Of the physicians, 84 percent routinely prescribed nitroglycerin to patients after a myocardial infarction, and 79 percent of the patients had the tablets available (83 percent of these, at all times). Most patients used the tablets less than once per month, and 37 percent of the patients who always carried nitroglycerin had not used it at all during the preceding year. Although 89 percent of the patients claimed to know when to use the drug, 57 percent had used it or would use it for symptoms such as dizziness, rapid heartbeat, or presyncope. All patients having nitroglycerin claimed it relieved their symptoms, even if the relief was only partial, the time elapsed until relief could not be specified, and the symptoms were of a type unlikely to be relieved by the drug. We suggest that the practice of routinely prescribing nitroglycerin to patients after a myocardial infarction should be reassessed."
What was the average age of patients with osteonecrosis in the femoral condyle of the knee in this study?,"Clinical course and roentgenographic changes of osteonecrosis in the femoral condyle under conservative treatment. The history of osteonecrosis in the femoral condyle of the knee was observed in 15 knees in 14 patients, averaging 62.8 years in age (range, 23-79 years). There were nine women and five men. The average follow-up period was 4.9 years (range, one to 12 years). Spontaneous osteonecrosis was found in 11 patients and steroid-induced osteonecrosis in three. The medial femoral condyles were involved in 13 knees and the lateral femoral condyles in two. The maximum width of the lesion was measured on anteroposterior roentgenograms and an osteonecrotic lesion less than 10 mm wide was rated as small. Cases of small osteonecrotic lesions displayed no remarkable changes with respect to stages and limb alignment. The average size of the steroid-induced osteonecrotic lesions was significantly larger than that of the spontaneous type. The size of the osteonecrotic lesions at the follow-up examination was compared to that observed at the initial diagnosis in 12 knees. Eight of these lesions displayed increases in dimension of more than 18% over the initial size at diagnosis."
What were the potential benefits of performing combined coronary angiography and angioplasty in this study?,"Safety and cost effectiveness of combined coronary angiography and angioplasty. If coronary angioplasty can be safely performed at the time of the initial diagnostic catheterization, it may result in shorter hospitalization stays and lower overall costs. Combined coronary angiography and angioplasty was performed electively on 733 patients between January 1, 1984, and September 1, 1988. These patients were divided into three major subgroups based upon their indications for angioplasty: 444 (61%) procedures were performed for restenosis; 190 (26%) procedures were performed in patients for unstable angina; and 99 (13%) procedures were performed in patients without unstable angina or previous angioplasty. A subset of 219 patients from this study who underwent elective combined coronary angiography and angioplasty during 1986 were compared with a matched population of 191 patients from the angiography and angioplasty as separate procedures). The success and complication rates were similar for both of these groups. Patients who underwent the combined procedure were hospitalized for a mean of 4.6 days with average total charges of $11,128, compared with 8.0 days and $13,160 for patients undergoing separate procedures (p less than 0.001). Significant savings were also realized with respect to total contrast dose, fluoroscopic time, and total procedural time. Thus in informed patients with suitable coronary anatomy, the strategy of combined angiography and angioplasty may present an opportunity for decreasing hospitalization stay, reducing total charges for revascularization, and reducing radiation exposure without compromising the safety or effectiveness of the procedure."
What was the mean follow-up period for the porous-coated total hip prostheses in this study?,"Prospective study of porous-coated anatomic total hip arthroplasty. Seventy-five uncemented porous-coated total hip prostheses were implanted in 64 patients. The results were reviewed after a mean follow-up period of 47 months (range, 40-64 months). The mean preoperative rating was fair, and the mean postoperative rating was excellent. There were six dislocations. Ten patients had mild thigh pain at one year; by two years, the pain had resolved in six patients. Neither moderate nor severe limp nor significant loosening of beads was observed. Only one patient had progressive radiolucent lines. The high rate of dislocation may be related to a compromise of acetabular position to obtain bony fixation in acetabula early in the series. The clinical results were encouraging."
How did the natriuretic response of torasemide compare to furosemide in nonazotemic cirrhotic patients with ascites?,"Comparison of the effects of torasemide and furosemide in nonazotemic cirrhotic patients with ascites: a randomized, double-blind study. In a randomized double-blind trial we compared the effects of torasemide, a new loop diuretic, and furosemide in nonazotemic cirrhotic patients with ascites during a 3-day period in association with potassium canrenoate (200 mg/day) administration. Doses of loop diuretics administered in this trial (10 and 25 mg/day of torasemide and furosemide, respectively) had been shown to be equipotent in healthy subjects. Torasemide induced significantly greater natriuresis than furosemide (p less than 0.02), with a twofold greater percentage increase in basal values (day 1: 130% vs. 50%; day 2: 104% vs. 42%; and day 3: 65% vs. 26%, respectively). Body weight loss was significantly higher during torasemide (p less than 0.02) administration, and the overall decrease at the end of the treatment was twice as high for furosemide (2.5 +/- 0.6 kg vs. 1.3 +/- 0.4 kg, respectively). Diuresis was also higher during torasemide administration, but the difference was not significant (p = 0.08). The extent of kaliuresis observed during the two treatments was almost identical despite the striking differences in the natriuretic response. The effects of the two treatments on plasma electrolytes, creatinine clearance, blood urea nitrogen, mean arterial pressure, heart rate and plasma arginine vasopressin concentration were similar. Both drugs caused increases in plasma renin activity at the end of the treatment, whereas plasma aldosterone concentration slightly increased only after torasemide administration. Despite the presence of a trend toward a more pronounced effect on these parameters after torasemide administration, no significant difference between the two treatments was observed."
How did early thrombolytic therapy affect the incidence of ventricular late potentials in patients after acute myocardial infarction?,"Reduction in the frequency of ventricular late potentials after acute myocardial infarction by early thrombolytic therapy. Ventricular late potentials are strong predictors of arrhythmic events after acute myocardial infarction (AMI). To assess the effect of intravenous thrombolysis on the incidence of ventricular late potentials, 223 consecutive patients surviving a first AMI were included in the present study: 59 patients (53 men, 6 women, mean age +/- standard deviation 55 +/- 10 years) received intravenous recombinant tissue-type plasminogen activator (100 mg over 3 hours, group A) and 164 patients (123 men, 41 women, mean age 61 +/- 11 years) received conventional medical treatment (group B). A time-domain signal-averaged electrocardiogram and a high-resolution beat-to-beat recording (gain 10(6), filters 100 to 300 Hz) were performed at 10 +/- 3 days after AMI. There was no difference between group A and B patients in terms of AMI location (anterior in 28 of 59 vs 80 of 164, difference not significant [NS]), mean left ventricular ejection fraction (55 +/- 10 vs 55 +/- 13%, NS), or presence of heart failure (New York Heart Association class III or IV in 12 of 59 vs 40 of 164, NS). The incidence of ventricular late potentials was 10% (6 of 59) in group A and 24% (39 of 164) in group B (p less than 0.05). Among the 146 patients who underwent coronary arteriography, the incidence of ventricular late potentials was 13% (10 of 80) in patients with a patent infarct-related artery and 26% (17 of 66) in patients with an occluded infarct-related artery (p less than 0.05)."
What was the efficacy of aztreonam in preventing urinary tract infections following transurethral resection of the prostate (TURP) in this multicenter study?,"Aztreonam monotherapy as prophylaxis in transurethral resection of the prostate: a multicenter study. The efficacy and safety of aztreonam in the prophylaxis of urinary tract infection following transurethral resection of the prostate (TURP) in patients with preoperatively sterile urine were studied in a multicenter trial including 300 patients at six Italian urology centers. The present report describes the first 192 patients enrolled in the protocol. Aztreonam or placebo was administered to each patient in three doses, which were given at the induction of anesthesia and 8 and 16 hours later. The development of bacteriuria was monitored by cultures of urine obtained before surgery, 3 days later, at removal of the bladder catheter, at discharge from the hospital, and at a follow-up visit 39-46 days after surgery. A febrile peak was observed for 6% of aztreonam-treated patients and for 20.9% of the placebo group (P less than .005), while bacteriuria was reported in 17.9% and 59.3% of these groups, respectively (P less than .001). From our data, TURP appears to be a clean-contaminated procedure requiring antibiotic prophylaxis, and aztreonam appears to reduce significantly the incidence of postoperative bacteriuria after this surgical procedure."
What is the significance of congenital hypertrophy of the retinal pigment epithelium (CHRPE) in Turcot syndrome and related conditions?,"Ocular findings in Turcot syndrome (glioma-polyposis). Turcot syndrome is a hereditary condition characterized by multiple, adenomatous gastrointestinal polyps associated with neuroepithelial tumors of the central nervous system. The authors examined a patient with Turcot syndrome who had multiple regions of congenital hypertrophy of the retinal pigment epithelium (CHRPE) with areas of surrounding hypopigmentation in the fundi of both eyes. Multiple, bilateral patches of CHRPE have been reported in patients with familial adenomatous polyposis and Gardner syndrome. This finding is thought to be a sensitive and specific clinical marker for these conditions and useful for predicting the presence and development of colorectal polyposis. Our findings provide further evidence that familial adenomatous polyposis, Gardner syndrome, and Turcot syndrome may be related conditions representing the variable phenotypic expression of a single, autosomal dominant genetic disorder. Children and young adults with multiple patches of CHRPE and a family history of adenomatous polyposis may be at increased risk for the development of central nervous system tumors as well as gastrointestinal polyps."
What is the rare complication observed in this patient with mixed connective tissue disease?,Hemobilia due to vasculitis of the gall bladder in a patient with mixed connective tissue disease. A 30-year-old woman with mixed connective tissue disease presented with acute abdominal pain and signs of blood loss. At cholecystectomy she appeared to have lost a considerable amount of blood into the biliary tract due to bleeding of the gall bladder. Microscopic examination showed vasculitis of the gall bladder wall. Hemobilia has not been described before as a complication in mixed connective tissue disease.
What was the most common symptom among patients with lower esophageal mucosal rings in this study?,"Use of a marshmallow bolus for evaluating lower esophageal mucosal rings. Sixty-three patients (35 women, 28 men; mean age 55 yr) with lower esophageal mucosal ring shown radiographically were examined with a semi-solid bolus consisting of a portion of a standard marshmallow. The most common symptom was dysphagia, present in 46 (73%) patients. Impaction of the marshmallow bolus by the ring occurred in 40 (63%) of the 63 patients, and produced symptoms in 27 (68%) of these 40 patients. Nine (14%) rings were detected radiographically only with a solid bolus; eight of these patients had dysphagia and seven rings were 20 mm or less in caliber. Impaction related to ring caliber, and was found in all 17 (100%) rings that were 13 mm or less in diameter, in 17/24 (71%) 14- to 19-mm rings, and in 6/22 (27%) rings 20 mm or more in caliber. Endoscopy in 23 patients detected 16 (70%) rings, and also depended on ring caliber: less than or equal to 13 mm, 6/6 (100%); 14-19 mm, 5/9 (56%); greater than or equal to 20 mm, 5/8 (63%). Marshmallow impaction occurred in 17 (74%) of 23 patients who had endoscopy; three of the 23 patients had normal endoscopy. In conclusion, radiographic examination supplemented by the use of a marshmallow bolus best detects lower esophageal mucosal ring."
